Timestamp,Tweets_per_second,EMA,Growth,Threshold
1402609506,9,8.732395374,-0.1200171757,1.5
1402609507,10,8.962868942,-0.1595662844,1.5
1402609508,14,9.878710953,-0.02960640694,1.5
1402609509,9,9.718945325,-0.05907859997,1.5
1402609510,10,9.770046175,0.004748381094,1.5
1402609511,8,9.448219598,0.02379507665,1.5
1402609512,13,10.09399785,0.1209029957,1.5
1402609513,9,9.895089152,0.121578462,1.5
1402609514,11,10.09598203,0.1640800439,1.5
1402609515,7,9.533076209,0.09169085929,1.5
1402609516,4,8.527062353,-0.04862355926,1.5
1402609517,5,7.885778289,-0.2017401535,1.5
1402609518,10,8.270182236,-0.149065875,1.5
1402609519,7,8.039240012,-0.1771543483,1.5
1402609520,6,7.6684691,-0.1883688751,1.5
1402609521,10,8.092383809,-0.1982974509,1.5
1402609522,10,8.439223117,-0.1471301585,1.5
1402609523,8,8.359364368,-0.1720107722,1.5
1402609524,7,8.11220721,-0.1490462226,1.5
1402609525,10,8.455442263,-0.008399151672,1.5
1402609526,3,7.46354367,-0.0535438106,1.5
1402609527,8,7.561081184,-0.08574188957,1.5
1402609528,16,9.09543006,0.1313793402,1.5
1402609529,16,10.35080641,0.3497878491,1.5
1402609530,6,9.559750701,0.1813269027,1.5
1402609531,7,9.094341483,0.07762780496,1.5
1402609532,12,9.622643031,0.1511213781,1.5
1402609533,14,10.41852612,0.2843022677,1.5
1402609534,5,9.43333955,0.1156530027,1.5
1402609535,5,8.627277814,0.1559224673,1.5
1402609536,8,8.513227302,0.1259272443,1.5
1402609537,8,8.419913247,-0.07426991449,1.5
1402609538,6,7.97992902,-0.229052433,1.5
1402609540,8,7.983578289,-0.1648758907,1.5
1402609541,5,7.44110951,-0.181786881,1.5
1402609542,10,7.906362326,-0.1783585549,1.5
1402609543,6,7.559750994,-0.2743934306,1.5
1402609544,18,9.457978086,0.002611857219,1.5
1402609545,7,9.011072979,0.04448624168,1.5
1402609546,11,9.372696074,0.1009568688,1.5
1402609547,10,9.486751333,0.1267041661,1.5
1402609548,6,8.852796545,0.1093828683,1.5
1402609549,7,8.515924446,0.06668014487,1.5
1402609550,6,8.058483638,0.08296802077,1.5
1402609551,9,8.229668431,0.04089189082,1.5
1402609552,11,8.73336508,0.1552450718,1.5
1402609553,8,8.600025974,-0.09071200036,1.5
1402609554,18,10.30911216,0.1440493473,1.5
1402609555,12,10.61654631,0.1327099726,1.5
1402609556,9,10.3226288,0.08810997983,1.5
1402609557,11,10.4457872,0.1799420836,1.5
1402609558,6,9.637462256,0.1316988915,1.5
1402609559,7,9.157923664,0.1364326188,1.5
1402609560,6,8.583755725,0.04302570595,1.5
1402609561,9,8.659436502,-0.008465073538,1.5
1402609562,11,9.084993502,0.05639140263,1.5
1402609563,5,8.342267411,-0.1907870163,1.5
1402609564,10,8.643673336,-0.1858300166,1.5
1402609565,8,8.52664182,-0.1739854272,1.5
1402609566,13,9.339979671,-0.1058615793,1.5
1402609567,10,9.459983367,-0.018415521,1.5
1402609568,13,10.10362276,0.1032656665,1.5
1402609569,10,10.08478225,0.1748682718,1.5
1402609570,9,9.887549117,0.141823618,1.5
1402609571,9,9.72617655,0.07057606022,1.5
1402609572,8,9.412326268,0.1282695465,1.5
1402609573,8,9.155539674,0.05921861208,1.5
1402609574,8,8.945441552,0.04911660887,1.5
1402609575,8,8.773543088,-0.06064644715,1.5
1402609576,16,10.08744434,0.06632791547,1.5
1402609577,12,10.43518174,0.03281585124,1.5
1402609578,10,10.35605778,0.02689949305,1.5
1402609579,9,10.10950182,0.02244769698,1.5
1402609580,8,9.725956037,-2.27E-05,1.5
1402609581,4,8.684873122,-0.07728728543,1.5
1402609582,3,7.651259827,-0.1643026955,1.5
1402609583,11,8.260121676,-0.07661107294,1.5
1402609584,8,8.212826826,-0.06390990002,1.5
1402609585,14,9.26504013,-0.08152750944,1.5
1402609586,6,8.67139647,-0.1690229562,1.5
1402609587,9,8.731142567,-0.1569048041,1.5
1402609588,10,8.961843918,-0.1135226963,1.5
1402609589,8,8.786963206,-0.09654504174,1.5
1402609590,9,8.825697168,0.01621486519,1.5
1402609591,10,9.039206774,0.1814010998,1.5
